,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,17-06-29,0,0,2,2
1,17-07-03,1,0,0,1
2,17-08-22,0,0,1,1
3,17-08-27,0,0,1,1
4,17-09-01,0,1,0,1
5,17-09-04,0,1,0,1
6,17-09-07,0,0,2,2
7,17-09-21,0,0,1,1
8,17-09-26,0,0,1,1
9,17-09-28,0,0,1,1
10,17-11-16,0,0,1,1
11,17-11-23,0,0,1,1
12,17-11-24,0,0,1,1
13,17-12-07,0,0,1,1
14,17-12-11,1,0,0,1
15,17-12-12,1,2,0,3
16,17-12-21,0,0,1,1
17,17-12-22,1,0,0,1
18,17-12-26,0,0,1,1
19,17-12-30,0,0,2,2
20,18-01-04,1,0,0,1
21,18-01-07,0,0,1,1
22,18-01-13,0,1,1,2
23,18-01-14,0,0,1,1
24,18-01-15,1,0,0,1
25,18-01-19,0,0,1,1
26,18-01-22,0,0,1,1
27,18-01-26,0,0,1,1
28,18-01-29,1,0,1,2
29,18-02-01,0,0,1,1
30,18-02-02,1,0,2,3
31,18-02-03,0,0,1,1
32,18-02-04,0,0,2,2
33,18-02-05,0,0,1,1
34,18-02-07,0,0,2,2
35,18-02-09,0,0,1,1
36,18-02-13,0,0,1,1
37,18-02-14,0,0,2,2
38,18-02-16,1,0,1,2
39,18-02-17,0,0,1,1
40,18-02-18,0,0,2,2
41,18-02-20,0,0,1,1
42,18-02-24,1,0,0,1
43,18-02-27,0,0,1,1
44,18-03-04,0,0,2,2
45,18-03-05,1,0,0,1
46,18-03-09,0,0,1,1
47,18-03-13,0,0,1,1
48,18-03-23,1,0,0,1
49,18-04-17,0,0,1,1
50,18-04-20,0,0,1,1
51,18-04-26,0,0,1,1
52,18-04-27,0,0,1,1
53,18-05-05,0,1,0,1
54,18-05-07,0,0,2,2
55,18-05-13,0,0,3,3
56,18-05-15,0,0,1,1
57,18-05-16,1,0,0,1
58,18-05-21,0,0,2,2
59,18-05-28,1,0,0,1
60,18-06-08,0,0,1,1
